city,year,weekofyear,total_cases
sj,2010,21,26
sj,2010,22,77
sj,2010,23,60
sj,2010,24,34
sj,2010,25,51
sj,2010,26,44
sj,2010,27,89
sj,2010,28,98
sj,2010,29,51
sj,2010,30,55
sj,2010,31,36
sj,2010,32,147
sj,2010,33,80
sj,2010,34,150
sj,2010,35,72
sj,2010,36,87
sj,2010,37,139
sj,2010,38,50
sj,2010,39,35
sj,2010,40,52
sj,2010,41,155
sj,2010,42,37
sj,2010,43,89
sj,2010,44,29
sj,2010,45,42
sj,2010,46,64
sj,2010,47,14
sj,2010,48,16
sj,2010,49,19
sj,2010,50,75
sj,2010,51,15
sj,2011,52,20
sj,2011,1,23
sj,2011,2,21
sj,2011,3,31
sj,2011,4,17
sj,2011,5,16
sj,2011,6,17
sj,2011,7,29
sj,2011,8,17
sj,2011,9,16
sj,2011,10,18
sj,2011,11,20
sj,2011,12,11
sj,2011,13,28
sj,2011,14,21
sj,2011,15,16
sj,2011,16,13
sj,2011,17,12
sj,2011,18,36
sj,2011,19,11
sj,2011,20,70
sj,2011,21,30
sj,2011,22,36
sj,2011,23,38
sj,2011,24,76
sj,2011,25,104
sj,2011,26,80
sj,2011,27,48
sj,2011,28,83
sj,2011,29,35
sj,2011,30,87
sj,2011,31,42
sj,2011,32,84
sj,2011,33,80
sj,2011,34,101
sj,2011,35,36
sj,2011,36,65
sj,2011,37,39
sj,2011,38,42
sj,2011,39,56
sj,2011,40,43
sj,2011,41,66
sj,2011,42,38
sj,2011,43,82
sj,2011,44,34
sj,2011,45,29
sj,2011,46,29
sj,2011,47,28
sj,2011,48,88
sj,2011,49,15
sj,2011,50,53
sj,2011,51,25
sj,2012,52,23
sj,2012,1,22
sj,2012,2,17
sj,2012,3,20
sj,2012,4,42
sj,2012,5,20
sj,2012,6,26
sj,2012,7,16
sj,2012,8,26
sj,2012,9,18
sj,2012,10,17
sj,2012,11,21
sj,2012,12,18
sj,2012,13,20
sj,2012,14,46
sj,2012,15,14
sj,2012,16,16
sj,2012,17,11
sj,2012,18,35
sj,2012,19,30
sj,2012,20,34
sj,2012,21,65
sj,2012,22,31
sj,2012,23,31
sj,2012,24,69
sj,2012,25,52
sj,2012,26,42
sj,2012,27,55
sj,2012,28,33
sj,2012,29,37
sj,2012,30,71
sj,2012,31,28
sj,2012,32,56
sj,2012,33,52
sj,2012,34,42
sj,2012,35,34
sj,2012,36,19
sj,2012,37,98
sj,2012,38,91
sj,2012,39,46
sj,2012,40,30
sj,2012,41,35
sj,2012,42,44
sj,2012,43,58
sj,2012,44,61
sj,2012,45,17
sj,2012,46,24
sj,2012,47,59
sj,2012,48,93
sj,2012,49,28
sj,2012,50,8
sj,2012,51,28
sj,2013,1,41
sj,2013,2,30
sj,2013,3,18
sj,2013,4,16
sj,2013,5,29
sj,2013,6,18
sj,2013,7,20
sj,2013,8,19
sj,2013,9,15
sj,2013,10,13
sj,2013,11,17
sj,2013,12,19
sj,2013,13,19
sj,2013,14,31
sj,2013,15,15
sj,2013,16,8
sj,2013,17,31
iq,2010,26,7
iq,2010,27,5
iq,2010,28,9
iq,2010,29,2
iq,2010,30,4
iq,2010,31,6
iq,2010,32,5
iq,2010,33,9
iq,2010,34,4
iq,2010,35,6
iq,2010,36,3
iq,2010,37,6
iq,2010,38,3
iq,2010,39,6
iq,2010,40,4
iq,2010,41,6
iq,2010,42,10
iq,2010,43,19
iq,2010,44,11
iq,2010,45,8
iq,2010,46,11
iq,2010,47,7
iq,2010,48,9
iq,2010,49,8
iq,2010,50,13
iq,2010,51,9
iq,2011,52,4
iq,2011,1,12
iq,2011,2,9
iq,2011,3,8
iq,2011,4,3
iq,2011,5,3
iq,2011,6,7
iq,2011,7,9
iq,2011,8,16
iq,2011,9,7
iq,2011,10,12
iq,2011,11,10
iq,2011,12,7
iq,2011,13,16
iq,2011,14,8
iq,2011,15,9
iq,2011,16,10
iq,2011,17,7
iq,2011,18,16
iq,2011,19,6
iq,2011,20,11
iq,2011,21,12
iq,2011,22,2
iq,2011,23,3
iq,2011,24,3
iq,2011,25,2
iq,2011,26,5
iq,2011,27,1
iq,2011,28,2
iq,2011,29,3
iq,2011,30,2
iq,2011,31,2
iq,2011,32,5
iq,2011,33,5
iq,2011,34,3
iq,2011,35,2
iq,2011,36,6
iq,2011,37,11
iq,2011,38,4
iq,2011,39,5
iq,2011,40,3
iq,2011,41,13
iq,2011,42,18
iq,2011,43,8
iq,2011,44,3
iq,2011,45,22
iq,2011,46,19
iq,2011,47,10
iq,2011,48,9
iq,2011,49,5
iq,2011,50,22
iq,2011,51,16
iq,2012,52,8
iq,2012,1,15
iq,2012,2,6
iq,2012,3,11
iq,2012,4,8
iq,2012,5,20
iq,2012,6,7
iq,2012,7,13
iq,2012,8,8
iq,2012,9,4
iq,2012,10,9
iq,2012,11,17
iq,2012,12,4
iq,2012,13,10
iq,2012,14,4
iq,2012,15,17
iq,2012,16,7
iq,2012,17,5
iq,2012,18,8
iq,2012,19,4
iq,2012,20,5
iq,2012,21,6
iq,2012,22,3
iq,2012,23,3
iq,2012,24,5
iq,2012,25,2
iq,2012,26,3
iq,2012,27,3
iq,2012,28,4
iq,2012,29,5
iq,2012,30,5
iq,2012,31,2
iq,2012,32,2
iq,2012,33,2
iq,2012,34,4
iq,2012,35,1
iq,2012,36,0
iq,2012,37,1
iq,2012,38,2
iq,2012,39,19
iq,2012,40,3
iq,2012,41,15
iq,2012,42,6
iq,2012,43,8
iq,2012,44,10
iq,2012,45,8
iq,2012,46,9
iq,2012,47,5
iq,2012,48,6
iq,2012,49,9
iq,2012,50,10
iq,2012,51,6
iq,2013,1,15
iq,2013,2,2
iq,2013,3,12
iq,2013,4,8
iq,2013,5,6
iq,2013,6,10
iq,2013,7,18
iq,2013,8,13
iq,2013,9,9
iq,2013,10,27
iq,2013,11,10
iq,2013,12,8
iq,2013,13,9
iq,2013,14,7
iq,2013,15,7
iq,2013,16,11
iq,2013,17,15
iq,2013,18,1
iq,2013,19,18
iq,2013,20,19
iq,2013,21,5
iq,2013,22,10
iq,2013,23,4
iq,2013,24,4
iq,2013,25,2
iq,2013,26,6
